step,return,k,config,seed
40,10.0,1,framestack_k1,1
44,11.0,1,framestack_k1,1
44,11.0,1,framestack_k1,1
76,19.0,1,framestack_k1,1
132,13.0,1,framestack_k1,1
140,23.0,1,framestack_k1,1
164,29.0,1,framestack_k1,1
208,18.0,1,framestack_k1,1
212,42.0,1,framestack_k1,1
232,16.0,1,framestack_k1,1
236,23.0,1,framestack_k1,1
252,10.0,1,framestack_k1,1
284,11.0,1,framestack_k1,1
292,19.0,1,framestack_k1,1
312,19.0,1,framestack_k1,1
340,13.0,1,framestack_k1,1
356,15.0,1,framestack_k1,1
396,35.0,1,framestack_k1,1
400,14.0,1,framestack_k1,1
428,17.0,1,framestack_k1,1
436,30.0,1,framestack_k1,1
448,11.0,1,framestack_k1,1
492,10.0,1,framestack_k1,1
512,20.0,1,framestack_k1,1
512,18.0,1,framestack_k1,1
560,11.0,1,framestack_k1,1
564,41.0,1,framestack_k1,1
600,26.0,1,framestack_k1,1
680,19.0,1,framestack_k1,1
684,29.0,1,framestack_k1,1
732,11.0,1,framestack_k1,1
748,58.0,1,framestack_k1,1
760,19.0,1,framestack_k1,1
768,51.0,1,framestack_k1,1
812,19.0,1,framestack_k1,1
852,22.0,1,framestack_k1,1
864,23.0,1,framestack_k1,1
916,25.0,1,framestack_k1,1
920,13.0,1,framestack_k1,1
940,21.0,1,framestack_k1,1
948,49.0,1,framestack_k1,1
996,11.0,1,framestack_k1,1
1004,15.0,1,framestack_k1,1
1008,21.0,1,framestack_k1,1
1020,25.0,1,framestack_k1,1
1068,11.0,1,framestack_k1,1
1072,16.0,1,framestack_k1,1
1112,25.0,1,framestack_k1,1
1112,28.0,1,framestack_k1,1
1184,27.0,1,framestack_k1,1
1188,18.0,1,framestack_k1,1
1192,19.0,1,framestack_k1,1
1200,32.0,1,framestack_k1,1
1240,11.0,1,framestack_k1,1
1268,19.0,1,framestack_k1,1
1292,26.0,1,framestack_k1,1
1308,26.0,1,framestack_k1,1
1332,22.0,1,framestack_k1,1
1392,20.0,1,framestack_k1,1
1416,30.0,1,framestack_k1,1
1452,14.0,1,framestack_k1,1
1472,50.0,1,framestack_k1,1
1516,24.0,1,framestack_k1,1
1536,20.0,1,framestack_k1,1
1576,60.0,1,framestack_k1,1
1584,11.0,1,framestack_k1,1
1620,25.0,1,framestack_k1,1
1640,41.0,1,framestack_k1,1
1648,15.0,1,framestack_k1,1
1704,31.0,1,framestack_k1,1
1708,21.0,1,framestack_k1,1
1708,14.0,1,framestack_k1,1
1752,11.0,1,framestack_k1,1
1792,37.0,1,framestack_k1,1
1796,10.0,1,framestack_k1,1
1812,25.0,1,framestack_k1,1
1840,32.0,1,framestack_k1,1
1868,18.0,1,framestack_k1,1
1872,18.0,1,framestack_k1,1
1908,16.0,1,framestack_k1,1
1932,29.0,1,framestack_k1,1
1960,22.0,1,framestack_k1,1
1996,15.0,1,framestack_k1,1
2032,39.0,1,framestack_k1,1
2048,34.0,1,framestack_k1,1
2060,24.0,1,framestack_k1,1
2060,15.0,1,framestack_k1,1
2092,10.0,1,framestack_k1,1
2120,21.0,1,framestack_k1,1
2152,22.0,1,framestack_k1,1
2180,29.0,1,framestack_k1,1
2228,18.0,1,framestack_k1,1
2252,39.0,1,framestack_k1,1
2280,24.0,1,framestack_k1,1
2288,41.0,1,framestack_k1,1
2296,16.0,1,framestack_k1,1
2332,12.0,1,framestack_k1,1
2364,18.0,1,framestack_k1,1
2384,32.0,1,framestack_k1,1
2396,15.0,1,framestack_k1,1
2428,10.0,1,framestack_k1,1
2460,40.0,1,framestack_k1,1
2500,17.0,1,framestack_k1,1
2504,26.0,1,framestack_k1,1
2528,40.0,1,framestack_k1,1
2548,21.0,1,framestack_k1,1
2588,20.0,1,framestack_k1,1
2588,14.0,1,framestack_k1,1
2592,22.0,1,framestack_k1,1
2636,21.0,1,framestack_k1,1
2640,12.0,1,framestack_k1,1
2644,13.0,1,framestack_k1,1
2652,14.0,1,framestack_k1,1
2688,11.0,1,framestack_k1,1
2708,17.0,1,framestack_k1,1
2732,21.0,1,framestack_k1,1
2764,27.0,1,framestack_k1,1
2772,15.0,1,framestack_k1,1
2788,24.0,1,framestack_k1,1
2836,17.0,1,framestack_k1,1
2840,16.0,1,framestack_k1,1
2868,33.0,1,framestack_k1,1
2884,11.0,1,framestack_k1,1
2928,10.0,1,framestack_k1,1
2932,22.0,1,framestack_k1,1
2936,16.0,1,framestack_k1,1
3020,21.0,1,framestack_k1,1
3040,25.0,1,framestack_k1,1
3052,30.0,1,framestack_k1,1
3064,68.0,1,framestack_k1,1
3112,17.0,1,framestack_k1,1
3124,17.0,1,framestack_k1,1
3128,15.0,1,framestack_k1,1
3168,9.0,1,framestack_k1,1
3172,14.0,1,framestack_k1,1
3176,12.0,1,framestack_k1,1
3176,38.0,1,framestack_k1,1
3224,11.0,1,framestack_k1,1
3228,14.0,1,framestack_k1,1
3248,17.0,1,framestack_k1,1
3292,15.0,1,framestack_k1,1
3328,19.0,1,framestack_k1,1
3340,11.0,1,framestack_k1,1
3380,38.0,1,framestack_k1,1
3380,51.0,1,framestack_k1,1
3392,12.0,1,framestack_k1,1
3436,10.0,1,framestack_k1,1
3460,19.0,1,framestack_k1,1
3480,10.0,1,framestack_k1,1
3480,37.0,1,framestack_k1,1
3496,28.0,1,framestack_k1,1
3520,9.0,1,framestack_k1,1
3532,17.0,1,framestack_k1,1
3568,17.0,1,framestack_k1,1
3572,12.0,1,framestack_k1,1
3612,19.0,1,framestack_k1,1
3612,32.0,1,framestack_k1,1
3656,20.0,1,framestack_k1,1
3680,27.0,1,framestack_k1,1
3728,17.0,1,framestack_k1,1
3748,16.0,1,framestack_k1,1
3772,39.0,1,framestack_k1,1
3796,16.0,1,framestack_k1,1
3844,57.0,1,framestack_k1,1
3856,14.0,1,framestack_k1,1
3876,31.0,1,framestack_k1,1
3896,12.0,1,framestack_k1,1
3920,36.0,1,framestack_k1,1
3936,14.0,1,framestack_k1,1
3960,15.0,1,framestack_k1,1
3976,13.0,1,framestack_k1,1
4008,11.0,1,framestack_k1,1
4024,21.0,1,framestack_k1,1
4048,47.0,1,framestack_k1,1
4088,27.0,1,framestack_k1,1
4100,12.0,1,framestack_k1,1
4124,24.0,1,framestack_k1,1
4136,31.0,1,framestack_k1,1
4148,14.0,1,framestack_k1,1
4172,17.0,1,framestack_k1,1
4188,15.0,1,framestack_k1,1
4192,10.0,1,framestack_k1,1
4212,9.0,1,framestack_k1,1
4240,25.0,1,framestack_k1,1
4308,29.0,1,framestack_k1,1
4344,25.0,1,framestack_k1,1
4360,12.0,1,framestack_k1,1
4404,52.0,1,framestack_k1,1
4408,15.0,1,framestack_k1,1
4412,49.0,1,framestack_k1,1
4488,19.0,1,framestack_k1,1
4500,21.0,1,framestack_k1,1
4556,13.0,1,framestack_k1,1
4632,18.0,1,framestack_k1,1
4648,71.0,1,framestack_k1,1
4652,40.0,1,framestack_k1,1
4696,11.0,1,framestack_k1,1
4748,12.0,1,framestack_k1,1
4760,88.0,1,framestack_k1,1
4784,37.0,1,framestack_k1,1
4792,10.0,1,framestack_k1,1
4812,12.0,1,framestack_k1,1
4816,40.0,1,framestack_k1,1
4856,15.0,1,framestack_k1,1
4888,17.0,1,framestack_k1,1
4932,36.0,1,framestack_k1,1
4952,15.0,1,framestack_k1,1
4976,10.0,1,framestack_k1,1
5036,44.0,1,framestack_k1,1
5036,20.0,1,framestack_k1,1
5048,17.0,1,framestack_k1,1
5068,63.0,1,framestack_k1,1
5112,18.0,1,framestack_k1,1
5120,17.0,1,framestack_k1,1
5136,16.0,1,framestack_k1,1
5140,25.0,1,framestack_k1,1
5208,21.0,1,framestack_k1,1
5240,24.0,1,framestack_k1,1
5244,8.0,1,framestack_k1,1
5264,37.0,1,framestack_k1,1
5280,9.0,1,framestack_k1,1
5300,40.0,1,framestack_k1,1
5360,23.0,1,framestack_k1,1
5376,18.0,1,framestack_k1,1
5416,33.0,1,framestack_k1,1
5428,12.0,1,framestack_k1,1
5436,47.0,1,framestack_k1,1
5456,23.0,1,framestack_k1,1
5480,15.0,1,framestack_k1,1
5504,11.0,1,framestack_k1,1
5556,12.0,1,framestack_k1,1
5564,31.0,1,framestack_k1,1
5604,11.0,1,framestack_k1,1
5604,43.0,1,framestack_k1,1
5628,15.0,1,framestack_k1,1
