step,return,config,seed
52,13.0,ppo_framestack_pomdp,2
52,13.0,ppo_framestack_pomdp,2
72,18.0,ppo_framestack_pomdp,2
88,8.0,ppo_framestack_pomdp,2
96,10.0,ppo_framestack_pomdp,2
132,14.0,ppo_framestack_pomdp,2
160,17.0,ppo_framestack_pomdp,2
172,43.0,ppo_framestack_pomdp,2
204,26.0,ppo_framestack_pomdp,2
224,15.0,ppo_framestack_pomdp,2
228,13.0,ppo_framestack_pomdp,2
232,24.0,ppo_framestack_pomdp,2
280,11.0,ppo_framestack_pomdp,2
320,9.0,ppo_framestack_pomdp,2
324,24.0,ppo_framestack_pomdp,2
348,29.0,ppo_framestack_pomdp,2
356,37.0,ppo_framestack_pomdp,2
376,13.0,ppo_framestack_pomdp,2
400,18.0,ppo_framestack_pomdp,2
412,15.0,ppo_framestack_pomdp,2
448,17.0,ppo_framestack_pomdp,2
460,11.0,ppo_framestack_pomdp,2
488,21.0,ppo_framestack_pomdp,2
532,17.0,ppo_framestack_pomdp,2
532,43.0,ppo_framestack_pomdp,2
544,13.0,ppo_framestack_pomdp,2
580,11.0,ppo_framestack_pomdp,2
584,12.0,ppo_framestack_pomdp,2
596,36.0,ppo_framestack_pomdp,2
644,24.0,ppo_framestack_pomdp,2
664,16.0,ppo_framestack_pomdp,2
668,21.0,ppo_framestack_pomdp,2
704,9.0,ppo_framestack_pomdp,2
720,33.0,ppo_framestack_pomdp,2
752,11.0,ppo_framestack_pomdp,2
756,27.0,ppo_framestack_pomdp,2
764,23.0,ppo_framestack_pomdp,2
776,13.0,ppo_framestack_pomdp,2
812,14.0,ppo_framestack_pomdp,2
816,12.0,ppo_framestack_pomdp,2
856,10.0,ppo_framestack_pomdp,2
860,20.0,ppo_framestack_pomdp,2
892,18.0,ppo_framestack_pomdp,2
904,36.0,ppo_framestack_pomdp,2
916,14.0,ppo_framestack_pomdp,2
920,14.0,ppo_framestack_pomdp,2
952,14.0,ppo_framestack_pomdp,2
964,11.0,ppo_framestack_pomdp,2
1004,9.0,ppo_framestack_pomdp,2
1024,29.0,ppo_framestack_pomdp,2
1040,21.0,ppo_framestack_pomdp,2
1044,30.0,ppo_framestack_pomdp,2
