step,return,config,seed
36,9.0,ppo_lstm_pomdp,2
64,16.0,ppo_lstm_pomdp,2
68,17.0,ppo_lstm_pomdp,2
72,18.0,ppo_lstm_pomdp,2
140,17.0,ppo_lstm_pomdp,2
168,32.0,ppo_lstm_pomdp,2
204,34.0,ppo_lstm_pomdp,2
216,18.0,ppo_lstm_pomdp,2
220,12.0,ppo_lstm_pomdp,2
220,36.0,ppo_lstm_pomdp,2
256,9.0,ppo_lstm_pomdp,2
272,16.0,ppo_lstm_pomdp,2
296,18.0,ppo_lstm_pomdp,2
344,30.0,ppo_lstm_pomdp,2
364,16.0,ppo_lstm_pomdp,2
412,11.0,ppo_lstm_pomdp,2
412,34.0,ppo_lstm_pomdp,2
460,28.0,ppo_lstm_pomdp,2
464,51.0,ppo_lstm_pomdp,2
484,17.0,ppo_lstm_pomdp,2
512,12.0,ppo_lstm_pomdp,2
540,18.0,ppo_lstm_pomdp,2
548,15.0,ppo_lstm_pomdp,2
564,37.0,ppo_lstm_pomdp,2
608,16.0,ppo_lstm_pomdp,2
616,12.0,ppo_lstm_pomdp,2
656,35.0,ppo_lstm_pomdp,2
660,27.0,ppo_lstm_pomdp,2
680,15.0,ppo_lstm_pomdp,2
692,20.0,ppo_lstm_pomdp,2
744,21.0,ppo_lstm_pomdp,2
748,13.0,ppo_lstm_pomdp,2
768,26.0,ppo_lstm_pomdp,2
784,25.0,ppo_lstm_pomdp,2
796,12.0,ppo_lstm_pomdp,2
840,22.0,ppo_lstm_pomdp,2
860,18.0,ppo_lstm_pomdp,2
864,23.0,ppo_lstm_pomdp,2
904,10.0,ppo_lstm_pomdp,2
932,16.0,ppo_lstm_pomdp,2
968,31.0,ppo_lstm_pomdp,2
968,15.0,ppo_lstm_pomdp,2
988,13.0,ppo_lstm_pomdp,2
1004,51.0,ppo_lstm_pomdp,2
1104,28.0,ppo_lstm_pomdp,2
1108,34.0,ppo_lstm_pomdp,2
1124,38.0,ppo_lstm_pomdp,2
1132,31.0,ppo_lstm_pomdp,2
1164,13.0,ppo_lstm_pomdp,2
1168,10.0,ppo_lstm_pomdp,2
1192,14.0,ppo_lstm_pomdp,2
1192,21.0,ppo_lstm_pomdp,2
1236,17.0,ppo_lstm_pomdp,2
1252,20.0,ppo_lstm_pomdp,2
1256,15.0,ppo_lstm_pomdp,2
1268,18.0,ppo_lstm_pomdp,2
1284,11.0,ppo_lstm_pomdp,2
1308,12.0,ppo_lstm_pomdp,2
1320,12.0,ppo_lstm_pomdp,2
1348,15.0,ppo_lstm_pomdp,2
1372,15.0,ppo_lstm_pomdp,2
1400,36.0,ppo_lstm_pomdp,2
1428,26.0,ppo_lstm_pomdp,2
1432,14.0,ppo_lstm_pomdp,2
1460,27.0,ppo_lstm_pomdp,2
1516,20.0,ppo_lstm_pomdp,2
1556,31.0,ppo_lstm_pomdp,2
1556,23.0,ppo_lstm_pomdp,2
1556,9.0,ppo_lstm_pomdp,2
1600,10.0,ppo_lstm_pomdp,2
1604,50.0,ppo_lstm_pomdp,2
1640,20.0,ppo_lstm_pomdp,2
1668,16.0,ppo_lstm_pomdp,2
1692,33.0,ppo_lstm_pomdp,2
1724,20.0,ppo_lstm_pomdp,2
1732,31.0,ppo_lstm_pomdp,2
1736,16.0,ppo_lstm_pomdp,2
1792,14.0,ppo_lstm_pomdp,2
1800,26.0,ppo_lstm_pomdp,2
1856,13.0,ppo_lstm_pomdp,2
1856,15.0,ppo_lstm_pomdp,2
