step,return,config,seed
76,19.0,ppo_mlp_mdp,2
76,19.0,ppo_mlp_mdp,2
80,20.0,ppo_mlp_mdp,2
88,22.0,ppo_mlp_mdp,2
128,12.0,ppo_mlp_mdp,2
140,14.0,ppo_mlp_mdp,2
140,15.0,ppo_mlp_mdp,2
140,12.0,ppo_mlp_mdp,2
212,17.0,ppo_mlp_mdp,2
216,18.0,ppo_mlp_mdp,2
224,20.0,ppo_mlp_mdp,2
268,12.0,ppo_mlp_mdp,2
284,17.0,ppo_mlp_mdp,2
300,18.0,ppo_mlp_mdp,2
316,46.0,ppo_mlp_mdp,2
348,11.0,ppo_mlp_mdp,2
364,23.0,ppo_mlp_mdp,2
384,16.0,ppo_mlp_mdp,2
420,17.0,ppo_mlp_mdp,2
424,14.0,ppo_mlp_mdp,2
432,11.0,ppo_mlp_mdp,2
480,11.0,ppo_mlp_mdp,2
488,50.0,ppo_mlp_mdp,2
492,17.0,ppo_mlp_mdp,2
532,26.0,ppo_mlp_mdp,2
548,14.0,ppo_mlp_mdp,2
560,16.0,ppo_mlp_mdp,2
596,28.0,ppo_mlp_mdp,2
604,17.0,ppo_mlp_mdp,2
652,22.0,ppo_mlp_mdp,2
652,11.0,ppo_mlp_mdp,2
664,16.0,ppo_mlp_mdp,2
716,15.0,ppo_mlp_mdp,2
724,17.0,ppo_mlp_mdp,2
756,9.0,ppo_mlp_mdp,2
772,26.0,ppo_mlp_mdp,2
776,12.0,ppo_mlp_mdp,2
800,62.0,ppo_mlp_mdp,2
820,15.0,ppo_mlp_mdp,2
832,14.0,ppo_mlp_mdp,2
840,15.0,ppo_mlp_mdp,2
892,22.0,ppo_mlp_mdp,2
940,26.0,ppo_mlp_mdp,2
944,12.0,ppo_mlp_mdp,2
972,32.0,ppo_mlp_mdp,2
988,10.0,ppo_mlp_mdp,2
1000,44.0,ppo_mlp_mdp,2
1024,20.0,ppo_mlp_mdp,2
1080,13.0,ppo_mlp_mdp,2
1088,24.0,ppo_mlp_mdp,2
