step,return,config,seed
56,14.0,ppo_mlp_pomdp,2
60,15.0,ppo_mlp_pomdp,2
72,18.0,ppo_mlp_pomdp,2
108,11.0,ppo_mlp_pomdp,2
144,17.0,ppo_mlp_pomdp,2
184,31.0,ppo_mlp_pomdp,2
208,15.0,ppo_mlp_pomdp,2
232,30.0,ppo_mlp_pomdp,2
236,12.0,ppo_mlp_pomdp,2
240,60.0,ppo_mlp_pomdp,2
256,11.0,ppo_mlp_pomdp,2
280,11.0,ppo_mlp_pomdp,2
312,17.0,ppo_mlp_pomdp,2
328,22.0,ppo_mlp_pomdp,2
372,22.0,ppo_mlp_pomdp,2
416,10.0,ppo_mlp_pomdp,2
448,47.0,ppo_mlp_pomdp,2
456,35.0,ppo_mlp_pomdp,2
464,33.0,ppo_mlp_pomdp,2
472,13.0,ppo_mlp_pomdp,2
508,14.0,ppo_mlp_pomdp,2
520,13.0,ppo_mlp_pomdp,2
548,18.0,ppo_mlp_pomdp,2
556,11.0,ppo_mlp_pomdp,2
564,26.0,ppo_mlp_pomdp,2
620,17.0,ppo_mlp_pomdp,2
620,15.0,ppo_mlp_pomdp,2
636,17.0,ppo_mlp_pomdp,2
664,10.0,ppo_mlp_pomdp,2
736,53.0,ppo_mlp_pomdp,2
748,20.0,ppo_mlp_pomdp,2
792,38.0,ppo_mlp_pomdp,2
820,20.0,ppo_mlp_pomdp,2
820,49.0,ppo_mlp_pomdp,2
896,25.0,ppo_mlp_pomdp,2
912,40.0,ppo_mlp_pomdp,2
948,12.0,ppo_mlp_pomdp,2
956,33.0,ppo_mlp_pomdp,2
1004,22.0,ppo_mlp_pomdp,2
1008,12.0,ppo_mlp_pomdp,2
1072,15.0,ppo_mlp_pomdp,2
1088,66.0,ppo_mlp_pomdp,2
1108,39.0,ppo_mlp_pomdp,2
1116,10.0,ppo_mlp_pomdp,2
1140,33.0,ppo_mlp_pomdp,2
1156,16.0,ppo_mlp_pomdp,2
1196,21.0,ppo_mlp_pomdp,2
1212,17.0,ppo_mlp_pomdp,2
1228,27.0,ppo_mlp_pomdp,2
1256,14.0,ppo_mlp_pomdp,2
1284,13.0,ppo_mlp_pomdp,2
1320,15.0,ppo_mlp_pomdp,2
1324,27.0,ppo_mlp_pomdp,2
1324,9.0,ppo_mlp_pomdp,2
1356,49.0,ppo_mlp_pomdp,2
1380,13.0,ppo_mlp_pomdp,2
