step,return,config
72,0.9669387755102041,PPO-MLP+FrameStack / MiniGrid-MemoryS7
96,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
328,0.8493877551020408,PPO-MLP+FrameStack / MiniGrid-MemoryS7
344,0.8420408163265306,PPO-MLP+FrameStack / MiniGrid-MemoryS7
368,0.9853061224489796,PPO-MLP+FrameStack / MiniGrid-MemoryS7
936,0.7318367346938774,PPO-MLP+FrameStack / MiniGrid-MemoryS7
1032,0.5261224489795918,PPO-MLP+FrameStack / MiniGrid-MemoryS7
1128,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
1960,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
1960,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
1960,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
2040,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
2064,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
2168,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
2336,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
2992,0.14775510204081632,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3000,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3104,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3280,0.8751020408163266,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3432,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3624,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3760,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3848,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
3928,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
4008,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
4136,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
4304,0.0,PPO-MLP+FrameStack / MiniGrid-MemoryS7
4416,0.9522448979591837,PPO-MLP+FrameStack / MiniGrid-MemoryS7
