step,return,config
136,17.0,PPO-LSTM / CartPole-Masked (POMDP)
144,18.0,PPO-LSTM / CartPole-Masked (POMDP)
152,19.0,PPO-LSTM / CartPole-Masked (POMDP)
168,21.0,PPO-LSTM / CartPole-Masked (POMDP)
232,29.0,PPO-LSTM / CartPole-Masked (POMDP)
240,12.0,PPO-LSTM / CartPole-Masked (POMDP)
248,31.0,PPO-LSTM / CartPole-Masked (POMDP)
256,32.0,PPO-LSTM / CartPole-Masked (POMDP)
256,32.0,PPO-LSTM / CartPole-Masked (POMDP)
280,16.0,PPO-LSTM / CartPole-Masked (POMDP)
304,18.0,PPO-LSTM / CartPole-Masked (POMDP)
344,12.0,PPO-LSTM / CartPole-Masked (POMDP)
392,16.0,PPO-LSTM / CartPole-Masked (POMDP)
400,17.0,PPO-LSTM / CartPole-Masked (POMDP)
400,14.0,PPO-LSTM / CartPole-Masked (POMDP)
472,27.0,PPO-LSTM / CartPole-Masked (POMDP)
480,38.0,PPO-LSTM / CartPole-Masked (POMDP)
528,22.0,PPO-LSTM / CartPole-Masked (POMDP)
544,38.0,PPO-LSTM / CartPole-Masked (POMDP)
576,21.0,PPO-LSTM / CartPole-Masked (POMDP)
592,13.0,PPO-LSTM / CartPole-Masked (POMDP)
608,16.0,PPO-LSTM / CartPole-Masked (POMDP)
656,13.0,PPO-LSTM / CartPole-Masked (POMDP)
704,49.0,PPO-LSTM / CartPole-Masked (POMDP)
736,41.0,PPO-LSTM / CartPole-Masked (POMDP)
760,18.0,PPO-LSTM / CartPole-Masked (POMDP)
760,12.0,PPO-LSTM / CartPole-Masked (POMDP)
776,22.0,PPO-LSTM / CartPole-Masked (POMDP)
800,27.0,PPO-LSTM / CartPole-Masked (POMDP)
808,12.0,PPO-LSTM / CartPole-Masked (POMDP)
880,43.0,PPO-LSTM / CartPole-Masked (POMDP)
888,18.0,PPO-LSTM / CartPole-Masked (POMDP)
928,20.0,PPO-LSTM / CartPole-Masked (POMDP)
936,19.0,PPO-LSTM / CartPole-Masked (POMDP)
1008,30.0,PPO-LSTM / CartPole-Masked (POMDP)
1016,15.0,PPO-LSTM / CartPole-Masked (POMDP)
1032,27.0,PPO-LSTM / CartPole-Masked (POMDP)
1056,31.0,PPO-LSTM / CartPole-Masked (POMDP)
1064,83.0,PPO-LSTM / CartPole-Masked (POMDP)
1104,27.0,PPO-LSTM / CartPole-Masked (POMDP)
1112,11.0,PPO-LSTM / CartPole-Masked (POMDP)
1160,15.0,PPO-LSTM / CartPole-Masked (POMDP)
1184,31.0,PPO-LSTM / CartPole-Masked (POMDP)
1192,31.0,PPO-LSTM / CartPole-Masked (POMDP)
1192,15.0,PPO-LSTM / CartPole-Masked (POMDP)
1256,17.0,PPO-LSTM / CartPole-Masked (POMDP)
1280,33.0,PPO-LSTM / CartPole-Masked (POMDP)
1296,12.0,PPO-LSTM / CartPole-Masked (POMDP)
1296,12.0,PPO-LSTM / CartPole-Masked (POMDP)
1360,21.0,PPO-LSTM / CartPole-Masked (POMDP)
1384,12.0,PPO-LSTM / CartPole-Masked (POMDP)
1392,11.0,PPO-LSTM / CartPole-Masked (POMDP)
1400,29.0,PPO-LSTM / CartPole-Masked (POMDP)
1432,16.0,PPO-LSTM / CartPole-Masked (POMDP)
1448,23.0,PPO-LSTM / CartPole-Masked (POMDP)
1504,49.0,PPO-LSTM / CartPole-Masked (POMDP)
1536,18.0,PPO-LSTM / CartPole-Masked (POMDP)
1536,16.0,PPO-LSTM / CartPole-Masked (POMDP)
1536,17.0,PPO-LSTM / CartPole-Masked (POMDP)
1552,23.0,PPO-LSTM / CartPole-Masked (POMDP)
1568,63.0,PPO-LSTM / CartPole-Masked (POMDP)
1592,10.0,PPO-LSTM / CartPole-Masked (POMDP)
