step,return,config
60,15.0,PPO-MLP / CartPole (MDP)
108,27.0,PPO-MLP / CartPole (MDP)
116,29.0,PPO-MLP / CartPole (MDP)
124,31.0,PPO-MLP / CartPole (MDP)
152,22.0,PPO-MLP / CartPole (MDP)
164,11.0,PPO-MLP / CartPole (MDP)
172,11.0,PPO-MLP / CartPole (MDP)
196,21.0,PPO-MLP / CartPole (MDP)
220,11.0,PPO-MLP / CartPole (MDP)
228,18.0,PPO-MLP / CartPole (MDP)
264,24.0,PPO-MLP / CartPole (MDP)
296,16.0,PPO-MLP / CartPole (MDP)
336,28.0,PPO-MLP / CartPole (MDP)
344,19.0,PPO-MLP / CartPole (MDP)
356,14.0,PPO-MLP / CartPole (MDP)
356,39.0,PPO-MLP / CartPole (MDP)
400,10.0,PPO-MLP / CartPole (MDP)
408,15.0,PPO-MLP / CartPole (MDP)
424,21.0,PPO-MLP / CartPole (MDP)
472,17.0,PPO-MLP / CartPole (MDP)
496,17.0,PPO-MLP / CartPole (MDP)
520,40.0,PPO-MLP / CartPole (MDP)
560,37.0,PPO-MLP / CartPole (MDP)
572,24.0,PPO-MLP / CartPole (MDP)
600,25.0,PPO-MLP / CartPole (MDP)
612,12.0,PPO-MLP / CartPole (MDP)
660,34.0,PPO-MLP / CartPole (MDP)
688,21.0,PPO-MLP / CartPole (MDP)
700,31.0,PPO-MLP / CartPole (MDP)
724,15.0,PPO-MLP / CartPole (MDP)
760,14.0,PPO-MLP / CartPole (MDP)
768,19.0,PPO-MLP / CartPole (MDP)
820,23.0,PPO-MLP / CartPole (MDP)
824,13.0,PPO-MLP / CartPole (MDP)
868,11.0,PPO-MLP / CartPole (MDP)
880,13.0,PPO-MLP / CartPole (MDP)
880,66.0,PPO-MLP / CartPole (MDP)
900,34.0,PPO-MLP / CartPole (MDP)
932,12.0,PPO-MLP / CartPole (MDP)
952,20.0,PPO-MLP / CartPole (MDP)
956,18.0,PPO-MLP / CartPole (MDP)
992,22.0,PPO-MLP / CartPole (MDP)
1060,16.0,PPO-MLP / CartPole (MDP)
1064,27.0,PPO-MLP / CartPole (MDP)
