step,return,config
40,10.0,PPO-MLP / CartPole-Masked (POMDP)
44,11.0,PPO-MLP / CartPole-Masked (POMDP)
44,11.0,PPO-MLP / CartPole-Masked (POMDP)
76,19.0,PPO-MLP / CartPole-Masked (POMDP)
132,13.0,PPO-MLP / CartPole-Masked (POMDP)
140,23.0,PPO-MLP / CartPole-Masked (POMDP)
164,29.0,PPO-MLP / CartPole-Masked (POMDP)
208,18.0,PPO-MLP / CartPole-Masked (POMDP)
212,42.0,PPO-MLP / CartPole-Masked (POMDP)
232,16.0,PPO-MLP / CartPole-Masked (POMDP)
236,23.0,PPO-MLP / CartPole-Masked (POMDP)
252,10.0,PPO-MLP / CartPole-Masked (POMDP)
284,11.0,PPO-MLP / CartPole-Masked (POMDP)
292,19.0,PPO-MLP / CartPole-Masked (POMDP)
312,19.0,PPO-MLP / CartPole-Masked (POMDP)
340,13.0,PPO-MLP / CartPole-Masked (POMDP)
356,15.0,PPO-MLP / CartPole-Masked (POMDP)
396,35.0,PPO-MLP / CartPole-Masked (POMDP)
400,14.0,PPO-MLP / CartPole-Masked (POMDP)
428,17.0,PPO-MLP / CartPole-Masked (POMDP)
436,30.0,PPO-MLP / CartPole-Masked (POMDP)
448,11.0,PPO-MLP / CartPole-Masked (POMDP)
492,10.0,PPO-MLP / CartPole-Masked (POMDP)
512,20.0,PPO-MLP / CartPole-Masked (POMDP)
512,18.0,PPO-MLP / CartPole-Masked (POMDP)
560,11.0,PPO-MLP / CartPole-Masked (POMDP)
564,41.0,PPO-MLP / CartPole-Masked (POMDP)
600,26.0,PPO-MLP / CartPole-Masked (POMDP)
680,19.0,PPO-MLP / CartPole-Masked (POMDP)
684,29.0,PPO-MLP / CartPole-Masked (POMDP)
732,11.0,PPO-MLP / CartPole-Masked (POMDP)
748,58.0,PPO-MLP / CartPole-Masked (POMDP)
760,19.0,PPO-MLP / CartPole-Masked (POMDP)
768,51.0,PPO-MLP / CartPole-Masked (POMDP)
812,19.0,PPO-MLP / CartPole-Masked (POMDP)
852,22.0,PPO-MLP / CartPole-Masked (POMDP)
864,23.0,PPO-MLP / CartPole-Masked (POMDP)
916,25.0,PPO-MLP / CartPole-Masked (POMDP)
920,13.0,PPO-MLP / CartPole-Masked (POMDP)
940,21.0,PPO-MLP / CartPole-Masked (POMDP)
948,49.0,PPO-MLP / CartPole-Masked (POMDP)
996,11.0,PPO-MLP / CartPole-Masked (POMDP)
1004,15.0,PPO-MLP / CartPole-Masked (POMDP)
1008,21.0,PPO-MLP / CartPole-Masked (POMDP)
1020,25.0,PPO-MLP / CartPole-Masked (POMDP)
1068,11.0,PPO-MLP / CartPole-Masked (POMDP)
1072,16.0,PPO-MLP / CartPole-Masked (POMDP)
1112,25.0,PPO-MLP / CartPole-Masked (POMDP)
1112,28.0,PPO-MLP / CartPole-Masked (POMDP)
1184,27.0,PPO-MLP / CartPole-Masked (POMDP)
1188,18.0,PPO-MLP / CartPole-Masked (POMDP)
1192,19.0,PPO-MLP / CartPole-Masked (POMDP)
1200,32.0,PPO-MLP / CartPole-Masked (POMDP)
1240,11.0,PPO-MLP / CartPole-Masked (POMDP)
1268,19.0,PPO-MLP / CartPole-Masked (POMDP)
1292,26.0,PPO-MLP / CartPole-Masked (POMDP)
1308,26.0,PPO-MLP / CartPole-Masked (POMDP)
1332,22.0,PPO-MLP / CartPole-Masked (POMDP)
1392,20.0,PPO-MLP / CartPole-Masked (POMDP)
1416,30.0,PPO-MLP / CartPole-Masked (POMDP)
1452,14.0,PPO-MLP / CartPole-Masked (POMDP)
1472,50.0,PPO-MLP / CartPole-Masked (POMDP)
1516,24.0,PPO-MLP / CartPole-Masked (POMDP)
1536,20.0,PPO-MLP / CartPole-Masked (POMDP)
1576,60.0,PPO-MLP / CartPole-Masked (POMDP)
1584,11.0,PPO-MLP / CartPole-Masked (POMDP)
1620,25.0,PPO-MLP / CartPole-Masked (POMDP)
1640,41.0,PPO-MLP / CartPole-Masked (POMDP)
1648,15.0,PPO-MLP / CartPole-Masked (POMDP)
1704,31.0,PPO-MLP / CartPole-Masked (POMDP)
1708,21.0,PPO-MLP / CartPole-Masked (POMDP)
1708,14.0,PPO-MLP / CartPole-Masked (POMDP)
1752,11.0,PPO-MLP / CartPole-Masked (POMDP)
1792,37.0,PPO-MLP / CartPole-Masked (POMDP)
1796,10.0,PPO-MLP / CartPole-Masked (POMDP)
1812,25.0,PPO-MLP / CartPole-Masked (POMDP)
1840,32.0,PPO-MLP / CartPole-Masked (POMDP)
1868,18.0,PPO-MLP / CartPole-Masked (POMDP)
1872,18.0,PPO-MLP / CartPole-Masked (POMDP)
1908,16.0,PPO-MLP / CartPole-Masked (POMDP)
1932,29.0,PPO-MLP / CartPole-Masked (POMDP)
1960,22.0,PPO-MLP / CartPole-Masked (POMDP)
1996,15.0,PPO-MLP / CartPole-Masked (POMDP)
2032,39.0,PPO-MLP / CartPole-Masked (POMDP)
2048,34.0,PPO-MLP / CartPole-Masked (POMDP)
2060,24.0,PPO-MLP / CartPole-Masked (POMDP)
2060,15.0,PPO-MLP / CartPole-Masked (POMDP)
2092,10.0,PPO-MLP / CartPole-Masked (POMDP)
2120,21.0,PPO-MLP / CartPole-Masked (POMDP)
2152,22.0,PPO-MLP / CartPole-Masked (POMDP)
2180,29.0,PPO-MLP / CartPole-Masked (POMDP)
2228,18.0,PPO-MLP / CartPole-Masked (POMDP)
2252,39.0,PPO-MLP / CartPole-Masked (POMDP)
2280,24.0,PPO-MLP / CartPole-Masked (POMDP)
2288,41.0,PPO-MLP / CartPole-Masked (POMDP)
2296,16.0,PPO-MLP / CartPole-Masked (POMDP)
2332,12.0,PPO-MLP / CartPole-Masked (POMDP)
2364,18.0,PPO-MLP / CartPole-Masked (POMDP)
2384,32.0,PPO-MLP / CartPole-Masked (POMDP)
2396,15.0,PPO-MLP / CartPole-Masked (POMDP)
2428,10.0,PPO-MLP / CartPole-Masked (POMDP)
2460,40.0,PPO-MLP / CartPole-Masked (POMDP)
2500,17.0,PPO-MLP / CartPole-Masked (POMDP)
2504,26.0,PPO-MLP / CartPole-Masked (POMDP)
2528,40.0,PPO-MLP / CartPole-Masked (POMDP)
2548,21.0,PPO-MLP / CartPole-Masked (POMDP)
2588,20.0,PPO-MLP / CartPole-Masked (POMDP)
2588,14.0,PPO-MLP / CartPole-Masked (POMDP)
2592,22.0,PPO-MLP / CartPole-Masked (POMDP)
2636,21.0,PPO-MLP / CartPole-Masked (POMDP)
2640,12.0,PPO-MLP / CartPole-Masked (POMDP)
2644,13.0,PPO-MLP / CartPole-Masked (POMDP)
2652,14.0,PPO-MLP / CartPole-Masked (POMDP)
2688,11.0,PPO-MLP / CartPole-Masked (POMDP)
2708,17.0,PPO-MLP / CartPole-Masked (POMDP)
2732,21.0,PPO-MLP / CartPole-Masked (POMDP)
2764,27.0,PPO-MLP / CartPole-Masked (POMDP)
2772,15.0,PPO-MLP / CartPole-Masked (POMDP)
2788,24.0,PPO-MLP / CartPole-Masked (POMDP)
2836,17.0,PPO-MLP / CartPole-Masked (POMDP)
2840,16.0,PPO-MLP / CartPole-Masked (POMDP)
2868,33.0,PPO-MLP / CartPole-Masked (POMDP)
2884,11.0,PPO-MLP / CartPole-Masked (POMDP)
2928,10.0,PPO-MLP / CartPole-Masked (POMDP)
2932,22.0,PPO-MLP / CartPole-Masked (POMDP)
2936,16.0,PPO-MLP / CartPole-Masked (POMDP)
3020,21.0,PPO-MLP / CartPole-Masked (POMDP)
3040,25.0,PPO-MLP / CartPole-Masked (POMDP)
3052,30.0,PPO-MLP / CartPole-Masked (POMDP)
3064,68.0,PPO-MLP / CartPole-Masked (POMDP)
3112,17.0,PPO-MLP / CartPole-Masked (POMDP)
3124,17.0,PPO-MLP / CartPole-Masked (POMDP)
3128,15.0,PPO-MLP / CartPole-Masked (POMDP)
3168,9.0,PPO-MLP / CartPole-Masked (POMDP)
3172,14.0,PPO-MLP / CartPole-Masked (POMDP)
3176,12.0,PPO-MLP / CartPole-Masked (POMDP)
3176,38.0,PPO-MLP / CartPole-Masked (POMDP)
3224,11.0,PPO-MLP / CartPole-Masked (POMDP)
3228,14.0,PPO-MLP / CartPole-Masked (POMDP)
3248,17.0,PPO-MLP / CartPole-Masked (POMDP)
3292,15.0,PPO-MLP / CartPole-Masked (POMDP)
3328,19.0,PPO-MLP / CartPole-Masked (POMDP)
3340,11.0,PPO-MLP / CartPole-Masked (POMDP)
3380,38.0,PPO-MLP / CartPole-Masked (POMDP)
3380,51.0,PPO-MLP / CartPole-Masked (POMDP)
3392,12.0,PPO-MLP / CartPole-Masked (POMDP)
3436,10.0,PPO-MLP / CartPole-Masked (POMDP)
3460,19.0,PPO-MLP / CartPole-Masked (POMDP)
3480,10.0,PPO-MLP / CartPole-Masked (POMDP)
3480,37.0,PPO-MLP / CartPole-Masked (POMDP)
3496,28.0,PPO-MLP / CartPole-Masked (POMDP)
3520,9.0,PPO-MLP / CartPole-Masked (POMDP)
3532,17.0,PPO-MLP / CartPole-Masked (POMDP)
3568,17.0,PPO-MLP / CartPole-Masked (POMDP)
3572,12.0,PPO-MLP / CartPole-Masked (POMDP)
3612,19.0,PPO-MLP / CartPole-Masked (POMDP)
3612,32.0,PPO-MLP / CartPole-Masked (POMDP)
3656,20.0,PPO-MLP / CartPole-Masked (POMDP)
3680,27.0,PPO-MLP / CartPole-Masked (POMDP)
3728,17.0,PPO-MLP / CartPole-Masked (POMDP)
3748,16.0,PPO-MLP / CartPole-Masked (POMDP)
3772,39.0,PPO-MLP / CartPole-Masked (POMDP)
3796,16.0,PPO-MLP / CartPole-Masked (POMDP)
3844,57.0,PPO-MLP / CartPole-Masked (POMDP)
3856,14.0,PPO-MLP / CartPole-Masked (POMDP)
3876,31.0,PPO-MLP / CartPole-Masked (POMDP)
3896,12.0,PPO-MLP / CartPole-Masked (POMDP)
3920,36.0,PPO-MLP / CartPole-Masked (POMDP)
3936,14.0,PPO-MLP / CartPole-Masked (POMDP)
3960,15.0,PPO-MLP / CartPole-Masked (POMDP)
3976,13.0,PPO-MLP / CartPole-Masked (POMDP)
4008,11.0,PPO-MLP / CartPole-Masked (POMDP)
4024,21.0,PPO-MLP / CartPole-Masked (POMDP)
4048,47.0,PPO-MLP / CartPole-Masked (POMDP)
4088,27.0,PPO-MLP / CartPole-Masked (POMDP)
4100,12.0,PPO-MLP / CartPole-Masked (POMDP)
4124,24.0,PPO-MLP / CartPole-Masked (POMDP)
4136,31.0,PPO-MLP / CartPole-Masked (POMDP)
4148,14.0,PPO-MLP / CartPole-Masked (POMDP)
4172,17.0,PPO-MLP / CartPole-Masked (POMDP)
