step,return,config
52,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
56,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
56,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
96,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
116,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
132,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
156,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
160,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
184,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
204,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
228,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
288,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
300,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
320,40.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
348,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
388,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
400,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
404,54.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
480,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
480,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
540,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
552,50.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
552,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
604,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
632,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
672,9.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
692,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
744,85.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
776,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
780,59.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
804,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
856,40.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
868,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
896,29.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
956,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
992,33.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1024,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1052,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1064,64.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1108,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1128,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1160,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1168,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1224,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1244,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1288,104.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1300,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1308,44.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1308,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1344,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1352,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1360,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1380,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1404,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1432,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1448,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1484,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1516,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1536,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1536,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1548,28.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1620,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1628,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1652,33.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1684,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1692,38.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1704,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1732,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1760,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1812,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1816,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1844,37.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
1884,37.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
