step,return,config
64,0.0,PPO-MLP / MiniGrid-MemoryS7
112,0.0,PPO-MLP / MiniGrid-MemoryS7
344,0.8420408163265306,PPO-MLP / MiniGrid-MemoryS7
712,0.6730612244897959,PPO-MLP / MiniGrid-MemoryS7
872,0.0,PPO-MLP / MiniGrid-MemoryS7
896,0.5885714285714285,PPO-MLP / MiniGrid-MemoryS7
920,0.6106122448979592,PPO-MLP / MiniGrid-MemoryS7
992,0.9706122448979592,PPO-MLP / MiniGrid-MemoryS7
1232,0.8493877551020408,PPO-MLP / MiniGrid-MemoryS7
1360,0.3755102040816326,PPO-MLP / MiniGrid-MemoryS7
1960,0.0,PPO-MLP / MiniGrid-MemoryS7
2016,0.0,PPO-MLP / MiniGrid-MemoryS7
2080,0.0,PPO-MLP / MiniGrid-MemoryS7
2312,0.0,PPO-MLP / MiniGrid-MemoryS7
2432,0.7869387755102041,PPO-MLP / MiniGrid-MemoryS7
2512,0.8053061224489796,PPO-MLP / MiniGrid-MemoryS7
2512,0.0,PPO-MLP / MiniGrid-MemoryS7
2552,0.0,PPO-MLP / MiniGrid-MemoryS7
2680,0.0,PPO-MLP / MiniGrid-MemoryS7
2840,0.0,PPO-MLP / MiniGrid-MemoryS7
2960,0.0,PPO-MLP / MiniGrid-MemoryS7
3144,0.0,PPO-MLP / MiniGrid-MemoryS7
3168,0.0,PPO-MLP / MiniGrid-MemoryS7
3200,0.0,PPO-MLP / MiniGrid-MemoryS7
3984,0.0,PPO-MLP / MiniGrid-MemoryS7
4280,0.0,PPO-MLP / MiniGrid-MemoryS7
4368,0.963265306122449,PPO-MLP / MiniGrid-MemoryS7
4368,0.8273469387755102,PPO-MLP / MiniGrid-MemoryS7
4480,0.0,PPO-MLP / MiniGrid-MemoryS7
4520,0.0,PPO-MLP / MiniGrid-MemoryS7
4536,0.3902040816326531,PPO-MLP / MiniGrid-MemoryS7
4648,0.0,PPO-MLP / MiniGrid-MemoryS7
4648,0.0,PPO-MLP / MiniGrid-MemoryS7
4792,0.9375510204081633,PPO-MLP / MiniGrid-MemoryS7
4912,0.0,PPO-MLP / MiniGrid-MemoryS7
4984,0.7906122448979592,PPO-MLP / MiniGrid-MemoryS7
5112,0.0,PPO-MLP / MiniGrid-MemoryS7
5136,0.0,PPO-MLP / MiniGrid-MemoryS7
5200,0.0,PPO-MLP / MiniGrid-MemoryS7
5248,0.5995918367346939,PPO-MLP / MiniGrid-MemoryS7
6048,0.0,PPO-MLP / MiniGrid-MemoryS7
6448,0.0,PPO-MLP / MiniGrid-MemoryS7
6448,0.0,PPO-MLP / MiniGrid-MemoryS7
6616,0.0,PPO-MLP / MiniGrid-MemoryS7
6744,0.0,PPO-MLP / MiniGrid-MemoryS7
7080,0.0,PPO-MLP / MiniGrid-MemoryS7
7168,0.0,PPO-MLP / MiniGrid-MemoryS7
7216,0.0,PPO-MLP / MiniGrid-MemoryS7
8016,0.0,PPO-MLP / MiniGrid-MemoryS7
8096,0.0,PPO-MLP / MiniGrid-MemoryS7
8104,0.0,PPO-MLP / MiniGrid-MemoryS7
8416,0.0,PPO-MLP / MiniGrid-MemoryS7
8416,0.0,PPO-MLP / MiniGrid-MemoryS7
8472,0.0,PPO-MLP / MiniGrid-MemoryS7
8584,0.0,PPO-MLP / MiniGrid-MemoryS7
8680,0.0,PPO-MLP / MiniGrid-MemoryS7
8784,0.0,PPO-MLP / MiniGrid-MemoryS7
8952,0.0,PPO-MLP / MiniGrid-MemoryS7
8968,0.0,PPO-MLP / MiniGrid-MemoryS7
9040,0.0,PPO-MLP / MiniGrid-MemoryS7
9048,0.0,PPO-MLP / MiniGrid-MemoryS7
9112,0.9706122448979592,PPO-MLP / MiniGrid-MemoryS7
9136,0.0,PPO-MLP / MiniGrid-MemoryS7
9296,0.0,PPO-MLP / MiniGrid-MemoryS7
9384,0.3755102040816326,PPO-MLP / MiniGrid-MemoryS7
9648,0.4379591836734693,PPO-MLP / MiniGrid-MemoryS7
9664,0.0,PPO-MLP / MiniGrid-MemoryS7
9864,0.9044897959183673,PPO-MLP / MiniGrid-MemoryS7
10016,0.5995918367346939,PPO-MLP / MiniGrid-MemoryS7
10088,0.0,PPO-MLP / MiniGrid-MemoryS7
10160,0.0,PPO-MLP / MiniGrid-MemoryS7
10256,0.0,PPO-MLP / MiniGrid-MemoryS7
10296,0.9853061224489796,PPO-MLP / MiniGrid-MemoryS7
10440,0.0,PPO-MLP / MiniGrid-MemoryS7
10760,0.7281632653061224,PPO-MLP / MiniGrid-MemoryS7
10880,0.9485714285714286,PPO-MLP / MiniGrid-MemoryS7
10936,0.0,PPO-MLP / MiniGrid-MemoryS7
11080,0.0,PPO-MLP / MiniGrid-MemoryS7
11168,0.6032653061224489,PPO-MLP / MiniGrid-MemoryS7
11352,0.0,PPO-MLP / MiniGrid-MemoryS7
11592,0.0,PPO-MLP / MiniGrid-MemoryS7
11624,0.19551020408163267,PPO-MLP / MiniGrid-MemoryS7
11664,0.9706122448979592,PPO-MLP / MiniGrid-MemoryS7
11704,0.0,PPO-MLP / MiniGrid-MemoryS7
11744,0.9485714285714286,PPO-MLP / MiniGrid-MemoryS7
11800,0.0,PPO-MLP / MiniGrid-MemoryS7
11824,0.0,PPO-MLP / MiniGrid-MemoryS7
11832,0.0,PPO-MLP / MiniGrid-MemoryS7
12088,0.0,PPO-MLP / MiniGrid-MemoryS7
12264,0.0,PPO-MLP / MiniGrid-MemoryS7
12296,0.7906122448979592,PPO-MLP / MiniGrid-MemoryS7
12408,0.0,PPO-MLP / MiniGrid-MemoryS7
12432,0.7244897959183674,PPO-MLP / MiniGrid-MemoryS7
12672,0.27265306122448973,PPO-MLP / MiniGrid-MemoryS7
12848,0.0,PPO-MLP / MiniGrid-MemoryS7
13104,0.6840816326530612,PPO-MLP / MiniGrid-MemoryS7
13288,0.533469387755102,PPO-MLP / MiniGrid-MemoryS7
13704,0.1293877551020407,PPO-MLP / MiniGrid-MemoryS7
13720,0.41224489795918373,PPO-MLP / MiniGrid-MemoryS7
13792,0.0,PPO-MLP / MiniGrid-MemoryS7
13856,0.0,PPO-MLP / MiniGrid-MemoryS7
13944,0.7024489795918367,PPO-MLP / MiniGrid-MemoryS7
14056,0.09999999999999998,PPO-MLP / MiniGrid-MemoryS7
14080,0.3571428571428571,PPO-MLP / MiniGrid-MemoryS7
14096,0.0,PPO-MLP / MiniGrid-MemoryS7
14136,0.0,PPO-MLP / MiniGrid-MemoryS7
14248,0.0,PPO-MLP / MiniGrid-MemoryS7
14264,0.0,PPO-MLP / MiniGrid-MemoryS7
14312,0.0,PPO-MLP / MiniGrid-MemoryS7
14344,0.0,PPO-MLP / MiniGrid-MemoryS7
14416,0.8493877551020408,PPO-MLP / MiniGrid-MemoryS7
14680,0.8053061224489796,PPO-MLP / MiniGrid-MemoryS7
14688,0.0,PPO-MLP / MiniGrid-MemoryS7
14808,0.0,PPO-MLP / MiniGrid-MemoryS7
14832,0.0,PPO-MLP / MiniGrid-MemoryS7
14912,0.0,PPO-MLP / MiniGrid-MemoryS7
14968,0.0,PPO-MLP / MiniGrid-MemoryS7
14968,0.0,PPO-MLP / MiniGrid-MemoryS7
15144,0.9228571428571428,PPO-MLP / MiniGrid-MemoryS7
15160,0.0,PPO-MLP / MiniGrid-MemoryS7
15208,0.0,PPO-MLP / MiniGrid-MemoryS7
15288,0.9448979591836735,PPO-MLP / MiniGrid-MemoryS7
15328,0.9853061224489796,PPO-MLP / MiniGrid-MemoryS7
