config,seed,episode,eval_return
sb3_recurrentppo_pomdp,1,1,232.0
sb3_recurrentppo_pomdp,1,2,337.0
sb3_recurrentppo_pomdp,1,3,327.0
sb3_recurrentppo_pomdp,1,4,221.0
sb3_recurrentppo_pomdp,1,5,235.0
sb3_recurrentppo_pomdp,1,6,319.0
sb3_recurrentppo_pomdp,1,7,276.0
sb3_recurrentppo_pomdp,1,8,219.0
sb3_recurrentppo_pomdp,1,9,225.0
sb3_recurrentppo_pomdp,1,10,246.0
sb3_recurrentppo_pomdp,1,11,239.0
sb3_recurrentppo_pomdp,1,12,220.0
sb3_recurrentppo_pomdp,1,13,314.0
sb3_recurrentppo_pomdp,1,14,237.0
sb3_recurrentppo_pomdp,1,15,330.0
sb3_recurrentppo_pomdp,1,16,267.0
sb3_recurrentppo_pomdp,1,17,255.0
sb3_recurrentppo_pomdp,1,18,270.0
sb3_recurrentppo_pomdp,1,19,292.0
sb3_recurrentppo_pomdp,1,20,274.0
