step,ep_rew_mean,ep_len_mean,config,seed
2048,0.3645805185185185,46.22222222222222,framestack,3
4096,0.2943492222222222,70.77777777777777,framestack,3
6144,0.2722384444444444,88.01587301587301,framestack,3
8192,0.26354831999999995,99.0,framestack,3
10240,0.2649521224489796,95.61224489795919,framestack,3
12288,0.23994696,103.28,framestack,3
14336,0.2694694,98.65,framestack,3
16384,0.29391427999999997,85.07,framestack,3
18432,0.41137957999999997,53.32,framestack,3
20480,0.4095632700000001,32.55,framestack,3
22528,0.5110694,24.3,framestack,3
24576,0.50723267,15.01,framestack,3
26624,0.5082530999999999,9.72,framestack,3
28672,0.43879596,9.0,framestack,3
30720,0.47306532000000007,8.67,framestack,3
32768,0.41773064000000004,7.85,framestack,3
34816,0.54615107,7.02,framestack,3
36864,0.49706939999999994,6.9,framestack,3
38912,0.5042040900000001,7.09,framestack,3
40960,0.49111027,5.67,framestack,3
43008,0.48136742,5.86,framestack,3
45056,0.40158779,5.64,framestack,3
47104,0.44022859000000003,5.69,framestack,3
49152,0.50077965,5.09,framestack,3
51200,0.51026534,5.59,framestack,3
53248,0.49155108,4.81,framestack,3
55296,0.49177149,4.44,framestack,3
57344,0.49129395000000003,4.62,framestack,3
59392,0.5187959600000001,5.53,framestack,3
61440,0.4516979699999999,4.74,framestack,3
63488,0.50011841,5.21,framestack,3
65536,0.4892367900000001,5.27,framestack,3
67584,0.5190531100000001,5.72,framestack,3
69632,0.50026538,4.96,framestack,3
71680,0.48048578,5.06,framestack,3
73728,0.47037555,5.43,framestack,3
75776,0.42114699,5.5,framestack,3
77824,0.47118370000000004,5.12,framestack,3
79872,0.50986128,5.12,framestack,3
81920,0.4413673900000001,5.4,framestack,3
83968,0.4326164,5.05,framestack,3
86016,0.51077965,5.06,framestack,3
88064,0.56897965,5.1,framestack,3
90112,0.56004494,4.75,framestack,3
92160,0.47015513,5.27,framestack,3
94208,0.4814776,4.95,framestack,3
96256,0.52122043,4.69,framestack,3
98304,0.44206532000000004,5.31,framestack,3
100352,0.5011469900000001,4.59,framestack,3
102400,0.48096328,4.91,framestack,3
104448,0.44151433000000007,4.79,framestack,3
106496,0.4224694,4.79,framestack,3
108544,0.42100005,5.03,framestack,3
110592,0.46133068,4.92,framestack,3
112640,0.41243269,4.84,framestack,3
114688,0.59945721,4.89,framestack,3
116736,0.45158782000000003,5.07,framestack,3
118784,0.48158783,4.79,framestack,3
120832,0.50096328,4.82,framestack,3
122880,0.4618816699999999,4.63,framestack,3
124928,0.5014041,4.73,framestack,3
126976,0.51111027,4.74,framestack,3
129024,0.44257962999999995,4.8,framestack,3
131072,0.54975107,4.94,framestack,3
133120,0.44199188,4.83,framestack,3
135168,0.45155108,4.79,framestack,3
137216,0.41239595,4.8,framestack,3
139264,0.5494939,5.13,framestack,3
141312,0.5304490399999999,4.81,framestack,3
143360,0.54960414,5.05,framestack,3
145408,0.54030206,4.88,framestack,3
147456,0.51008167,5.2,framestack,3
149504,0.4914775899999999,4.83,framestack,3
151552,0.4322857599999999,4.64,framestack,3
153600,0.4913306499999999,4.86,framestack,3
155648,0.44291026,4.79,framestack,3
157696,0.49063269000000004,4.9,framestack,3
159744,0.48144085,4.85,framestack,3
161792,0.49166127000000004,4.55,framestack,3
163840,0.47166127,4.52,framestack,3
165888,0.39320412,4.54,framestack,3
167936,0.5013306700000001,4.99,framestack,3
169984,0.57886942,5.17,framestack,3
172032,0.46195513,4.51,framestack,3
174080,0.52070617,4.88,framestack,3
176128,0.44213884999999997,4.71,framestack,3
178176,0.37342454,4.83,framestack,3
180224,0.5395306300000001,4.86,framestack,3
182272,0.51074291,4.83,framestack,3
184320,0.49133068,4.96,framestack,3
186368,0.48213882999999996,4.53,framestack,3
188416,0.49103678,4.73,framestack,3
190464,0.48140415,4.74,framestack,3
192512,0.51092657,4.64,framestack,3
194560,0.42166126,4.77,framestack,3
196608,0.5704490499999999,4.82,framestack,3
198656,0.46254291999999997,4.77,framestack,3
200704,0.47228577,4.48,framestack,3
202752,0.5791266,4.76,framestack,3
204800,0.5300816500000001,4.76,framestack,3
206848,0.51092657,4.88,framestack,3
208896,0.51107351,4.73,framestack,3
210944,0.52103678,4.72,framestack,3
212992,0.53030209,5.04,framestack,3
215040,0.46191843,4.91,framestack,3
217088,0.3929469699999999,4.64,framestack,3
219136,0.41257963,4.93,framestack,3
221184,0.49151429999999996,4.54,framestack,3
223232,0.47173472999999994,5.23,framestack,3
225280,0.48085307,4.81,framestack,3
227328,0.5798612900000001,4.77,framestack,3
229376,0.521147,5.02,framestack,3
231424,0.49063268,5.08,framestack,3
233472,0.50088981,5.22,framestack,3
235520,0.49044899000000003,4.86,framestack,3
237568,0.4713306300000001,4.83,framestack,3
239616,0.5016612899999999,4.53,framestack,3
241664,0.5203020900000002,4.87,framestack,3
243712,0.54059596,4.94,framestack,3
245760,0.5990531099999999,4.84,framestack,3
247808,0.52155109,4.35,framestack,3
249856,0.54033881,4.81,framestack,3
251904,0.45199189000000006,5.19,framestack,3
253952,0.46250621000000003,4.68,framestack,3
256000,0.53158782,4.36,framestack,3
258048,0.5307429,4.91,framestack,3
260096,0.47191841,4.92,framestack,3
262144,0.46162455,4.76,framestack,3
264192,0.49133064,4.68,framestack,3
266240,0.5112204899999999,4.56,framestack,3
268288,0.54942046,5.06,framestack,3
270336,0.51004494,4.96,framestack,3
272384,0.5697511,4.75,framestack,3
274432,0.5296041100000001,4.95,framestack,3
276480,0.45210208,4.7,framestack,3
278528,0.53004492,4.76,framestack,3
280576,0.44180819,4.85,framestack,3
282624,0.47177144,4.59,framestack,3
284672,0.48044898,5.17,framestack,3
286720,0.51077964,4.81,framestack,3
288768,0.38279999000000003,4.98,framestack,3
290816,0.40283676999999996,4.92,framestack,3
292864,0.48111024,4.82,framestack,3
294912,0.43217556,4.84,framestack,3
296960,0.50114697,4.76,framestack,3
299008,0.48133068,5.04,framestack,3
301056,0.5401184400000001,4.91,framestack,3
303104,0.48122044,5.06,framestack,3
305152,0.48077961,5.34,framestack,3
307200,0.50096329,4.6,framestack,3
309248,0.30404900000000007,4.87,framestack,3
311296,0.49144086000000003,4.68,framestack,3
313344,0.51107352,4.67,framestack,3
315392,0.49133066,4.63,framestack,3
317440,0.52092656,4.8,framestack,3
